shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,46.232990,6.056136,0
1,46.233040,6.056307,1
1,46.232826,6.057077,2
1,46.232769,6.057149,3
1,46.232594,6.057225,4
1,46.231903,6.056428,5
1,46.230419,6.055578,6
1,46.230328,6.055328,7
1,46.230286,6.054537,8
1,46.230190,6.053327,9
1,46.230316,6.053279,10
1,46.231003,6.054078,11
1,46.231125,6.054084,12
1,46.231323,6.053789,13
1,46.231426,6.053756,14
1,46.231522,6.053968,15
1,46.231621,6.054058,16
1,46.231682,6.054042,17
1,46.231735,6.054082,18
1,46.231693,6.056074,19
1,46.231758,6.056329,20
1,46.230419,6.055578,21
1,46.230328,6.055328,22
1,46.230145,6.052659,23
1,46.230103,6.052541,24
1,46.229912,6.052201,25
1,46.229664,6.052021,26
1,46.229549,6.051957,27
1,46.229118,6.051691,28
1,46.229012,6.051471,29
1,46.228981,6.051160,30
1,46.228981,6.050718,31
1,46.229744,6.048891,32
1,46.229939,6.048427,33
1,46.230930,6.046152,34
1,46.231121,6.045932,35
1,46.231308,6.045879,36
1,46.231407,6.045935,37
1,46.231640,6.045865,38
1,46.231869,6.045436,39
1,46.232086,6.045015,40
1,46.232132,6.044778,41
1,46.232086,6.045016,42
1,46.232201,6.044680,43
1,46.233440,6.042244,44
1,46.234932,6.039648,45
1,46.237270,6.035850,46
1,46.238235,6.036268,47
1,46.238682,6.036408,48
1,46.238804,6.035941,49
1,46.238525,6.035319,50
1,46.238266,6.035174,51
1,46.237934,6.035072,52
1,46.237698,6.035104,53
1,46.234489,6.040297,54
1,46.235939,6.040860,55
1,46.236362,6.042089,56
1,46.236534,6.042845,57
1,46.236530,6.043521,58
1,46.236473,6.043827,59
1,46.236115,6.044739,60
1,46.235741,6.045141,61
1,46.235298,6.045490,62
1,46.235100,6.045989,63
1,46.234501,6.048172,64
1,46.233681,6.047711,65
1,46.233494,6.048247,66
1,46.233265,6.049100,67
1,46.234123,6.049545,68
1,46.233299,6.052507,69
1,46.232891,6.052249,70
1,46.232883,6.052260,71

2,46.231548,6.054003,0
2,46.231628,6.054073,1
2,46.231716,6.054078,2
2,46.231693,6.056079,3
2,46.231758,6.056337,4
2,46.232609,6.057372,5
2,46.232822,6.057198,6
2,46.233082,6.056318,7
2,46.232986,6.056120,8
2,46.233040,6.056302,9
2,46.232819,6.057074,10
2,46.232594,6.057217,11
2,46.232586,6.057369,12
2,46.232704,6.057673,13
2,46.232914,6.057517,14
2,46.233604,6.055055,15
2,46.233772,6.054706,16
2,46.235077,6.050152,17
2,46.236439,6.045061,18
2,46.236656,6.044723,19
2,46.236923,6.044613,20
2,46.236839,6.044160,21
2,46.236820,6.043749,22
2,46.239365,6.034791,23
2,46.239594,6.034227,24
2,46.240032,6.034048,25
2,46.240395,6.034265,26
2,46.240768,6.034630,27
2,46.242565,6.036647,28
2,46.243382,6.037473,29
2,46.243481,6.037489,30
2,46.244003,6.036837,31
2,46.244049,6.036660,32
2,46.243961,6.036424,33
2,46.242710,6.034879,34
2,46.242523,6.035220,35
2,46.242378,6.035220,36
2,46.242256,6.035083,37
2,46.242008,6.035558,38
2,46.242149,6.035711,39
2,46.242378,6.035220,40
2,46.242523,6.035220,41
2,46.242710,6.034879,42
2,46.243961,6.036424,43
2,46.244049,6.036660,44
2,46.244003,6.036837,45
2,46.243481,6.037489,46
2,46.243488,6.037604,47
2,46.244205,6.038280,48
2,46.248344,6.041676,49
2,46.251858,6.044586,50
2,46.252056,6.044827,51
2,46.252270,6.045219,52
2,46.252518,6.045967,53
2,46.252850,6.047314,54
2,46.253662,6.051984,55
2,46.253761,6.052641,56
2,46.253849,6.054119,57
2,46.253975,6.057235,58
2,46.254120,6.059075,59
