stop_id,stop_name,stop_desc,stop_lat,stop_lon
B13,Building 13,,46.232875,6.05227
B22,Building 22,,46.2297,6.05203
B30,Building 30,,46.234901,6.039697
B33,Building 33,Main Reception,46.233036,6.055833
B36,Building 36,,46.238224,6.036289
B40,Building 40,,46.230287,6.054501
B54,Building 54,,46.235156,6.045812
B57,Building 57,,46.233982,6.050018
B101,Building 101,,46.230002,6.048607
B120,Building 120,,46.233819,6.052754
B160,Building 160,,46.232956,6.052411
B188,Building 188,,46.23826,6.035164
B500,Building 500,Main Building,46.231516,6.05402
B504,Building 504,Restaurant 2,46.232037,6.044992
B530,Building 530,,46.236284,6.04187
B855,Building 855,,46.233533,6.048044
B864,Building 864,,46.258009,6.060978
B865,Building 865,,46.257343,6.060018
B866,Building 866,,46.256573,6.058859
B888,Building 888,,46.264282,6.062641
B892,Building 892,,46.260104,6.059219
B926,Building 926,,46.259219,6.060544
B2285,Building 2285,Point 2,46.250691,6.02147
B2885,Building 2885,Point 8,46.241337,6.09617
B3562,Building 3562,Point 5,46.310324,6.076254
CCC,CCC,Cern Control Centre,46.254892,6.056545
FH,Foyer Hostel St Genis,,46.242137,6.035208
GVA,Geneva Airport,,46.230922,6.109071
ISR,ISR,,46.233419,6.04232
Lion,St Genis I,(Lion),46.241968,6.025754
SM18,SM18,,46.238569,6.046069
